Amount (RM),Date,Company Name
306.05,15/12/2024,MOBILIA HOLDINGS BERHAD
354.81,22/11/2024,GABUNGAN AQRS BERHAD
178.98,20/6/2025,RHB BANK BERHAD
155.79,23/7/2025,AHMAD ZAKI RESOURCES BHD
233.97,9/8/2024,GAS MALAYSIA BERHAD
257.28,30/7/2025,AL-SALAM REAL ESTATE INVESTMENT TRUST
425.8,31/3/2025,METRONIC GLOBAL BHD
105.67,14/8/2024,ZHULIAN CORPORATION BHD
120.94,3/6/2025,CARIMIN PETROLEUM BERHAD
323.0,7/7/2025,ASTRO MALAYSIA HOLDINGS BERHAD
384.22,8/8/2024,Y&G CORPORATION BHD
